#K-Path(1/A) Energy-Level(eV)
# NKPTS & NBANDS:  50   5
# Band-Index    1
   0.00000     -7.236708
   0.12715     -7.178194
   0.25430     -7.009125
   0.38145     -6.723463
   0.50860     -6.327692
   0.63574     -5.822977
   0.76289     -5.213999
   0.89004     -4.508346
   1.01719     -3.716637
   1.14434     -2.875418
   1.27149     -2.035331
   1.39864     -1.315406
   1.52579     -0.925267
   1.65293     -1.060631
   1.78008     -1.649029
   1.90723     -2.451402
   2.03438     -3.300541
   2.16153     -4.119032
   2.28868     -4.871948
   2.41583     -5.529500
   2.54298     -6.088366
   2.67012     -6.540880
   2.79727     -6.880122
   2.92442     -7.108115
   3.05157     -7.223204
   3.17872     -7.223204
   3.30587     -7.108115
   3.43302     -6.880122
   3.56017     -6.540880
   3.68731     -6.088366
   3.81446     -5.529500
   3.94161     -4.871948
   4.06876     -4.119032
   4.19591     -3.300541
   4.32306     -2.451402
   4.45021     -1.649029
   4.57736     -1.060631
   4.70450     -0.925267
   4.83165     -1.315406
   4.95880     -2.035331
   5.08595     -2.875418
   5.21310     -3.716637
   5.34025     -4.508346
   5.46740     -5.213999
   5.59455     -5.822977
   5.72170     -6.327692
   5.84884     -6.723463
   5.97599     -7.009125
   6.10314     -7.178194
   6.23029     -7.236708
 
   6.23029      5.738161
   6.10314      5.799521
   5.97599      5.983384
   5.84884      6.289779
   5.72170      6.718214
   5.59455      7.267860
   5.46740      7.936239
   5.34025      8.712750
   5.21310      9.455756
   5.08595      8.520947
   4.95880      7.124347
   4.83165      6.021419
   4.70450      5.464199
   4.57736      5.658052
   4.45021      6.521803
   4.32306      7.802344
   4.19591      9.207286
   4.06876      9.123337
   3.94161      8.312627
   3.81446      7.587541
   3.68731      6.977989
   3.56017      6.488728
   3.43302      6.121297
   3.30587      5.876133
   3.17872      5.753473
   3.05157      5.753473
   2.92442      5.876133
   2.79727      6.121297
   2.67012      6.488728
   2.54298      6.977989
   2.41583      7.587541
   2.28868      8.312627
   2.16153      9.123337
   2.03438      9.207286
   1.90723      7.802344
   1.78008      6.521803
   1.65293      5.658052
   1.52579      5.464199
   1.39864      6.021419
   1.27149      7.124347
   1.14434      8.520947
   1.01719      9.455756
   0.89004      8.712750
   0.76289      7.936239
   0.63574      7.267860
   0.50860      6.718214
   0.38145      6.289779
   0.25430      5.983384
   0.12715      5.799521
   0.00000      5.738161
 


